,x,,,,214290_s_at,ACAA1,2.340004946,,,,
1553551_s_at,-2.924226046,,,,,,,,,,
208452_x_at,-2.923603108,,,,,,,,,,
227243_s_at,-2.922073363,,,,,,,,,,
208423_s_at,-2.921848951,,,,,,,,,,
223871_x_at,-2.92144175,,,,,,,,,,
244611_at,-2.919731423,,,,,,,,,,
201980_s_at,-2.919213631,,,,,,,,,,
211115_x_at,-2.918450227,,,,,,,,,,
1560922_s_at,-2.917169547,,,,,,,,,,
224899_s_at,-2.916793657,,,,,,,,,,
211356_x_at,-2.916218575,,,,,,,,,,
226854_at,-2.915480625,,,,,,,,,,
210028_s_at,-2.915336859,,,,,,,,,,
202920_at,-2.914369111,,,,,,,,,,
230394_at,-2.913963384,,,,,,,,,,
217097_s_at,-2.913274867,,,,,,,,,,
AFFX-BioDn-3_at,-2.913133465,,,,,,,,,,
203690_at,-2.913111784,,,,,,,,,,
229460_at,-2.911462677,,,,,,,,,,
236475_at,-2.910703157,,,,,,,,,,
241709_s_at,-2.908331108,,,,,,,,,,
204334_at,-2.906346707,,,,,,,,,,
201497_x_at,-2.90247004,,,,,,,,,,
222434_at,-2.901877424,,,,,,,,,,
1555003_at,-2.899402988,,,,,,,,,,
217509_x_at,-2.898342269,,,,,,,,,,
212963_at,-2.896923003,,,,,,,,,,
204513_s_at,-2.896843529,,,,,,,,,,
211473_s_at,-2.896757032,,,,,,,,,,
239503_at,-2.896487389,,,,,,,,,,
219997_s_at,-2.896249131,,,,,,,,,,
201693_s_at,-2.895829508,,,,,,,,,,
209843_s_at,-2.895711736,,,,,,,,,,
235451_at,-2.895508941,,,,,,,,,,
228550_at,-2.895233406,,,,,,,,,,
215978_x_at,-2.893136426,,,,,,,,,,
210212_x_at,-2.890972654,,,,,,,,,,
213005_s_at,-2.890906732,,,,,,,,,,
225987_at,-2.889139706,,,,,,,,,,
206374_at,-2.888143589,,,,,,,,,,
223954_x_at,-2.887770717,,,,,,,,,,
219700_at,-2.885761335,,,,,,,,,,
214846_s_at,-2.885451797,,,,,,,,,,
228574_at,-2.884993432,,,,,,,,,,
212315_s_at,-2.884952901,,,,,,,,,,
224865_at,-2.884536113,,,,,,,,,,
207572_at,-2.88407049,,,,,,,,,,
216095_x_at,-2.883993015,,,,,,,,,,
223035_s_at,-2.883905277,,,,,,,,,,
222292_at,-2.88350334,,,,,,,,,,
228570_at,-2.882631592,,,,,,,,,,
225384_at,-2.88261688,,,,,,,,,,
204932_at,-2.88242144,,,,,,,,,,
223268_at,-2.882402219,,,,,,,,,,
227947_at,-2.880282673,,,,,,,,,,
235302_at,-2.880263309,,,,,,,,,,
244080_at,-2.878640097,,,,,,,,,,
202426_s_at,-2.878405114,,,,,,,,,,
200013_at,-2.877358894,,,,,,,,,,
242509_at,-2.877149331,,,,,,,,,,
227434_at,-2.876733058,,,,,,,,,,
223359_s_at,-2.874691163,,,,,,,,,,
229215_at,-2.874099706,,,,,,,,,,
203567_s_at,-2.873919831,,,,,,,,,,
201217_x_at,-2.873001693,,,,,,,,,,
243988_at,-2.871549703,,,,,,,,,,
232164_s_at,-2.870984369,,,,,,,,,,
222729_at,-2.870841261,,,,,,,,,,
1563654_at,-2.867154374,,,,,,,,,,
211890_x_at,-2.866498433,,,,,,,,,,
208607_s_at,-2.864948789,,,,,,,,,,
203233_at,-2.864737731,,,,,,,,,,
1559410_at,-2.863888945,,,,,,,,,,
242079_at,-2.863880156,,,,,,,,,,
1555639_a_at,-2.863225726,,,,,,,,,,
227808_at,-2.862057747,,,,,,,,,,
223531_x_at,-2.858489466,,,,,,,,,,
222755_s_at,-2.856714701,,,,,,,,,,
206405_x_at,-2.856280341,,,,,,,,,,
222785_x_at,-2.855488852,,,,,,,,,,
205500_at,-2.854609629,,,,,,,,,,
209161_at,-2.854572085,,,,,,,,,,
203283_s_at,-2.853488493,,,,,,,,,,
212140_at,-2.853330285,,,,,,,,,,
218834_s_at,-2.85280681,,,,,,,,,,
222394_at,-2.85224704,,,,,,,,,,
238172_at,-2.851939452,,,,,,,,,,
49049_at,-2.85164906,,,,,,,,,,
225395_s_at,-2.851439492,,,,,,,,,,
222008_at,-2.849669975,,,,,,,,,,
204323_x_at,-2.849032755,,,,,,,,,,
91826_at,-2.848824867,,,,,,,,,,
223171_at,-2.84662432,,,,,,,,,,
1564318_at,-2.845090764,,,,,,,,,,
1557830_at,-2.842776839,,,,,,,,,,
1568377_x_at,-2.842750801,,,,,,,,,,
229593_at,-2.841573303,,,,,,,,,,
209063_x_at,-2.839108213,,,,,,,,,,
218853_s_at,-2.838962218,,,,,,,,,,
1553174_at,-2.838708841,,,,,,,,,,
214715_x_at,-2.838610791,,,,,,,,,,
242665_at,-2.836859784,,,,,,,,,,
216113_at,-2.836670027,,,,,,,,,,
214479_at,-2.836160271,,,,,,,,,,
1564429_at,-2.835849482,,,,,,,,,,
1553361_x_at,-2.834599745,,,,,,,,,,
226404_at,-2.833611953,,,,,,,,,,
209476_at,-2.83231292,,,,,,,,,,
214594_x_at,-2.830537217,,,,,,,,,,
202558_s_at,-2.828400092,,,,,,,,,,
201178_at,-2.82663864,,,,,,,,,,
1569201_a_at,-2.826001615,,,,,,,,,,
235493_at,-2.82427294,,,,,,,,,,
202880_s_at,-2.823874272,,,,,,,,,,
1552518_s_at,-2.823664452,,,,,,,,,,
211019_s_at,-2.823231406,,,,,,,,,,
227760_at,-2.822954634,,,,,,,,,,
240315_at,-2.821971387,,,,,,,,,,
1559496_at,-2.821649544,,,,,,,,,,
230908_at,-2.820838863,,,,,,,,,,
1561190_at,-2.820096391,,,,,,,,,,
212525_s_at,-2.818682021,,,,,,,,,,
229035_s_at,-2.817963241,,,,,,,,,,
224188_s_at,-2.817512802,,,,,,,,,,
242854_x_at,-2.817028251,,,,,,,,,,
1559705_s_at,-2.816466902,,,,,,,,,,
209732_at,-2.815935139,,,,,,,,,,
225373_at,-2.815535251,,,,,,,,,,
236804_at,-2.814276536,,,,,,,,,,
233498_at,-2.813997002,,,,,,,,,,
201317_s_at,-2.813777717,,,,,,,,,,
238303_at,-2.813258317,,,,,,,,,,
230742_at,-2.813100388,,,,,,,,,,
230936_at,-2.81183618,,,,,,,,,,
218745_x_at,-2.811248339,,,,,,,,,,
218023_s_at,-2.80782641,,,,,,,,,,
239830_at,-2.805015101,,,,,,,,,,
224236_s_at,-2.804388849,,,,,,,,,,
221864_at,-2.803693651,,,,,,,,,,
1554059_at,-2.803259845,,,,,,,,,,
216853_x_at,-2.80165781,,,,,,,,,,
202373_s_at,-2.80045547,,,,,,,,,,
40446_at,-2.800086101,,,,,,,,,,
244669_at,-2.798373792,,,,,,,,,,
240159_at,-2.798362011,,,,,,,,,,
239208_s_at,-2.797090518,,,,,,,,,,
1558007_s_at,-2.795886885,,,,,,,,,,
203749_s_at,-2.795711606,,,,,,,,,,
208084_at,-2.79465735,,,,,,,,,,
213018_at,-2.793792698,,,,,,,,,,
210932_s_at,-2.792691901,,,,,,,,,,
204148_s_at,-2.791976505,,,,,,,,,,
202964_s_at,-2.79185581,,,,,,,,,,
202488_s_at,-2.79153068,,,,,,,,,,
203660_s_at,-2.789445629,,,,,,,,,,
1564431_a_at,-2.789273702,,,,,,,,,,
1554026_a_at,-2.789233007,,,,,,,,,,
219994_at,-2.789198281,,,,,,,,,,
239699_s_at,-2.788965392,,,,,,,,,,
224661_at,-2.7889391,,,,,,,,,,
213431_x_at,-2.788057025,,,,,,,,,,
226651_at,-2.787436412,,,,,,,,,,
229811_at,-2.786295773,,,,,,,,,,
218268_at,-2.786187847,,,,,,,,,,
238939_at,-2.784145357,,,,,,,,,,
218408_at,-2.7822112,,,,,,,,,,
232167_at,-2.782035747,,,,,,,,,,
1555429_at,-2.781663201,,,,,,,,,,
225528_at,-2.781471883,,,,,,,,,,
229007_at,-2.78028011,,,,,,,,,,
202628_s_at,-2.778672923,,,,,,,,,,
1561871_at,-2.778047185,,,,,,,,,,
203428_s_at,-2.777654421,,,,,,,,,,
220254_at,-2.777384404,,,,,,,,,,
203564_at,-2.777311796,,,,,,,,,,
204560_at,-2.77700196,,,,,,,,,,
213265_at,-2.774002802,,,,,,,,,,
1555695_a_at,-2.773526832,,,,,,,,,,
218335_x_at,-2.773426927,,,,,,,,,,
241905_at,-2.77281286,,,,,,,,,,
204187_at,-2.771454903,,,,,,,,,,
239246_at,-2.770287858,,,,,,,,,,
209023_s_at,-2.770129505,,,,,,,,,,
209929_s_at,-2.769355022,,,,,,,,,,
218160_at,-2.76838109,,,,,,,,,,
234672_s_at,-2.768159394,,,,,,,,,,
226827_at,-2.767889374,,,,,,,,,,
223049_at,-2.766443527,,,,,,,,,,
215139_at,-2.764481794,,,,,,,,,,
204321_at,-2.764205037,,,,,,,,,,
219454_at,-2.762992911,,,,,,,,,,
1553186_x_at,-2.762728923,,,,,,,,,,
210524_x_at,-2.762604288,,,,,,,,,,
235433_at,-2.760481652,,,,,,,,,,
202947_s_at,-2.760255842,,,,,,,,,,
225679_at,-2.759780438,,,,,,,,,,
233870_at,-2.759369856,,,,,,,,,,
206862_at,-2.758184598,,,,,,,,,,
218209_s_at,-2.75747122,,,,,,,,,,
219786_at,-2.756674764,,,,,,,,,,
218619_s_at,-2.756032493,,,,,,,,,,
1568609_s_at,-2.756025854,,,,,,,,,,
47560_at,-2.752633359,,,,,,,,,,
204155_s_at,-2.750929428,,,,,,,,,,
229695_at,-2.74835918,,,,,,,,,,
204668_at,-2.747609427,,,,,,,,,,
239445_at,-2.747076867,,,,,,,,,,
233090_at,-2.743795661,,,,,,,,,,
210140_at,-2.743771172,,,,,,,,,,
219622_at,-2.743404091,,,,,,,,,,
221526_x_at,-2.743231736,,,,,,,,,,
226566_at,-2.743028774,,,,,,,,,,
223303_at,-2.74263255,,,,,,,,,,
220071_x_at,-2.74183107,,,,,,,,,,
1561591_at,-2.741719606,,,,,,,,,,
204202_at,-2.741298607,,,,,,,,,,
1556602_at,-2.740077208,,,,,,,,,,
223781_x_at,-2.739514121,,,,,,,,,,
221900_at,-2.739231049,,,,,,,,,,
1562606_a_at,-2.739177403,,,,,,,,,,
219197_s_at,-2.738240249,,,,,,,,,,
220520_s_at,-2.736692821,,,,,,,,,,
221026_s_at,-2.73644037,,,,,,,,,,
48030_i_at,-2.735588045,,,,,,,,,,
233917_s_at,-2.734874844,,,,,,,,,,
215888_at,-2.733361522,,,,,,,,,,
226968_at,-2.733349686,,,,,,,,,,
213185_at,-2.733071928,,,,,,,,,,
244023_at,-2.731814634,,,,,,,,,,
201940_at,-2.731764797,,,,,,,,,,
223559_s_at,-2.730675098,,,,,,,,,,
219817_at,-2.72973243,,,,,,,,,,
220287_at,-2.729475511,,,,,,,,,,
224617_at,-2.729287665,,,,,,,,,,
234465_at,-2.728964141,,,,,,,,,,
227122_at,-2.728261823,,,,,,,,,,
222638_s_at,-2.728110888,,,,,,,,,,
244062_at,-2.728008112,,,,,,,,,,
235393_at,-2.727837856,,,,,,,,,,
209543_s_at,-2.727126351,,,,,,,,,,
222500_at,-2.726736782,,,,,,,,,,
208731_at,-2.725225928,,,,,,,,,,
237246_at,-2.724045305,,,,,,,,,,
234366_x_at,-2.724035191,,,,,,,,,,
226262_at,-2.72394006,,,,,,,,,,
244871_s_at,-2.723830111,,,,,,,,,,
204835_at,-2.723784937,,,,,,,,,,
1556048_at,-2.722691681,,,,,,,,,,
217982_s_at,-2.720673673,,,,,,,,,,
235362_at,-2.720345086,,,,,,,,,,
244878_at,-2.719638213,,,,,,,,,,
229197_at,-2.718679854,,,,,,,,,,
238427_at,-2.717683889,,,,,,,,,,
240180_at,-2.716143273,,,,,,,,,,
202760_s_at,-2.714722456,,,,,,,,,,
210672_s_at,-2.713468682,,,,,,,,,,
227025_at,-2.713275018,,,,,,,,,,
242871_at,-2.712922064,,,,,,,,,,
48612_at,-2.710854086,,,,,,,,,,
219236_at,-2.709981889,,,,,,,,,,
213876_x_at,-2.708720608,,,,,,,,,,
232140_at,-2.708511926,,,,,,,,,,
236562_at,-2.708004642,,,,,,,,,,
205085_at,-2.707742346,,,,,,,,,,
212997_s_at,-2.707284855,,,,,,,,,,
228139_at,-2.707212596,,,,,,,,,,
239534_at,-2.706770105,,,,,,,,,,
221904_at,-2.706434465,,,,,,,,,,
219653_at,-2.705788996,,,,,,,,,,
241336_at,-2.705476707,,,,,,,,,,
228805_at,-2.703336477,,,,,,,,,,
236923_x_at,-2.703160902,,,,,,,,,,
220865_s_at,-2.702822859,,,,,,,,,,
1555015_a_at,-2.700354628,,,,,,,,,,
223463_at,-2.699393238,,,,,,,,,,
203966_s_at,-2.698781323,,,,,,,,,,
226746_s_at,-2.69819987,,,,,,,,,,
238438_at,-2.698094986,,,,,,,,,,
222860_s_at,-2.697905652,,,,,,,,,,
205909_at,-2.69784373,,,,,,,,,,
229433_at,-2.697105652,,,,,,,,,,
217743_s_at,-2.695814688,,,,,,,,,,
238507_at,-2.695299703,,,,,,,,,,
221943_x_at,-2.692834365,,,,,,,,,,
241533_at,-2.692779051,,,,,,,,,,
1558959_at,-2.691608275,,,,,,,,,,
219104_at,-2.691122288,,,,,,,,,,
220942_x_at,-2.688957777,,,,,,,,,,
208313_s_at,-2.687861263,,,,,,,,,,
232569_at,-2.687715221,,,,,,,,,,
224015_s_at,-2.687150053,,,,,,,,,,
211339_s_at,-2.687030475,,,,,,,,,,
213688_at,-2.686703571,,,,,,,,,,
225404_at,-2.686407623,,,,,,,,,,
244825_at,-2.686237567,,,,,,,,,,
241223_x_at,-2.685149153,,,,,,,,,,
228881_at,-2.683992794,,,,,,,,,,
210969_at,-2.683864609,,,,,,,,,,
231714_s_at,-2.682797083,,,,,,,,,,
213323_s_at,-2.681916645,,,,,,,,,,
228305_at,-2.681710407,,,,,,,,,,
240139_at,-2.681351892,,,,,,,,,,
222979_s_at,-2.680765083,,,,,,,,,,
224221_s_at,-2.679238841,,,,,,,,,,
212564_at,-2.678882487,,,,,,,,,,
218099_at,-2.678817893,,,,,,,,,,
228234_at,-2.678684836,,,,,,,,,,
230063_at,-2.6780765,,,,,,,,,,
224959_at,-2.677926438,,,,,,,,,,
219026_s_at,-2.676698091,,,,,,,,,,
213850_s_at,-2.675946507,,,,,,,,,,
240839_at,-2.675713074,,,,,,,,,,
214869_x_at,-2.675011447,,,,,,,,,,
219226_at,-2.673611402,,,,,,,,,,
220475_at,-2.672431599,,,,,,,,,,
218912_at,-2.672078279,,,,,,,,,,
223332_x_at,-2.671959416,,,,,,,,,,
229862_x_at,-2.671917963,,,,,,,,,,
204698_at,-2.671187481,,,,,,,,,,
1569345_at,-2.671169554,,,,,,,,,,
219468_s_at,-2.670203139,,,,,,,,,,
206321_at,-2.669582899,,,,,,,,,,
224630_at,-2.668403966,,,,,,,,,,
1552395_at,-2.667608206,,,,,,,,,,
202469_s_at,-2.667312528,,,,,,,,,,
221888_at,-2.661175372,,,,,,,,,,
202519_at,-2.659120116,,,,,,,,,,
203941_at,-2.659018306,,,,,,,,,,
211008_s_at,-2.658483405,,,,,,,,,,
203211_s_at,-2.658433042,,,,,,,,,,
221639_x_at,-2.657826946,,,,,,,,,,
225741_at,-2.657179544,,,,,,,,,,
204635_at,-2.656866032,,,,,,,,,,
205333_s_at,-2.656717547,,,,,,,,,,
217773_s_at,-2.656359899,,,,,,,,,,
219372_at,-2.653747714,,,,,,,,,,
1562099_at,-2.652829935,,,,,,,,,,
202756_s_at,-2.652132913,,,,,,,,,,
213658_at,-2.652030942,,,,,,,,,,
232550_at,-2.651926027,,,,,,,,,,
219650_at,-2.651848158,,,,,,,,,,
212395_s_at,-2.651455088,,,,,,,,,,
227573_s_at,-2.650958964,,,,,,,,,,
215835_at,-2.650072975,,,,,,,,,,
235546_at,-2.649877529,,,,,,,,,,
219268_at,-2.648804987,,,,,,,,,,
201013_s_at,-2.648743321,,,,,,,,,,
216028_at,-2.648157754,,,,,,,,,,
226986_at,-2.646918509,,,,,,,,,,
1557736_at,-2.645600886,,,,,,,,,,
225327_at,-2.645292086,,,,,,,,,,
234317_s_at,-2.645251347,,,,,,,,,,
32723_at,-2.645113916,,,,,,,,,,
224178_s_at,-2.644686606,,,,,,,,,,
206043_s_at,-2.642628968,,,,,,,,,,
232354_at,-2.641678739,,,,,,,,,,
230641_at,-2.641203046,,,,,,,,,,
226428_at,-2.641002202,,,,,,,,,,
1556831_at,-2.640060524,,,,,,,,,,
1555247_a_at,-2.640004846,,,,,,,,,,
214132_at,-2.639878311,,,,,,,,,,
1561538_at,-2.639272556,,,,,,,,,,
235096_at,-2.639251823,,,,,,,,,,
239716_at,-2.636650426,,,,,,,,,,
1557809_a_at,-2.633671797,,,,,,,,,,
223060_at,-2.632122822,,,,,,,,,,
208816_x_at,-2.631785848,,,,,,,,,,
213230_at,-2.630871813,,,,,,,,,,
225707_at,-2.627016228,,,,,,,,,,
240609_at,-2.625867071,,,,,,,,,,
1552347_at,-2.625495884,,,,,,,,,,
202009_at,-2.625443798,,,,,,,,,,
240111_at,-2.624897471,,,,,,,,,,
1559394_a_at,-2.623934058,,,,,,,,,,
1566986_at,-2.623029556,,,,,,,,,,
222404_x_at,-2.62178894,,,,,,,,,,
240744_at,-2.620890747,,,,,,,,,,
225569_at,-2.620883317,,,,,,,,,,
219394_at,-2.620269633,,,,,,,,,,
241920_x_at,-2.618828358,,,,,,,,,,
227277_at,-2.616964489,,,,,,,,,,
40359_at,-2.616145088,,,,,,,,,,
1559075_s_at,-2.615895474,,,,,,,,,,
232660_at,-2.61199522,,,,,,,,,,
229009_at,-2.610883372,,,,,,,,,,
1569938_at,-2.610034923,,,,,,,,,,
219337_at,-2.610033144,,,,,,,,,,
206451_at,-2.609689387,,,,,,,,,,
218496_at,-2.609548983,,,,,,,,,,
228562_at,-2.60914181,,,,,,,,,,
1557064_s_at,-2.608254642,,,,,,,,,,
241407_at,-2.607115981,,,,,,,,,,
225307_at,-2.606935547,,,,,,,,,,
237294_at,-2.606805864,,,,,,,,,,
239465_at,-2.606730942,,,,,,,,,,
203525_s_at,-2.606502453,,,,,,,,,,
228816_at,-2.605764052,,,,,,,,,,
241301_at,-2.605119552,,,,,,,,,,
208002_s_at,-2.604682653,,,,,,,,,,
205588_s_at,-2.60402857,,,,,,,,,,
1556758_at,-2.603917678,,,,,,,,,,
235405_at,-2.60349671,,,,,,,,,,
200784_s_at,-2.600537675,,,,,,,,,,
230557_at,-2.598905873,,,,,,,,,,
203108_at,-2.598477848,,,,,,,,,,
233823_at,-2.59802126,,,,,,,,,,
210947_s_at,-2.596376028,,,,,,,,,,
230226_s_at,-2.596172585,,,,,,,,,,
235327_x_at,-2.595219782,,,,,,,,,,
218050_at,-2.594125879,,,,,,,,,,
235423_at,-2.594077821,,,,,,,,,,
234311_s_at,-2.593912552,,,,,,,,,,
1554769_at,-2.593815291,,,,,,,,,,
228536_at,-2.593813569,,,,,,,,,,
1562256_at,-2.593176477,,,,,,,,,,
216520_s_at,-2.591258984,,,,,,,,,,
206044_s_at,-2.590363236,,,,,,,,,,
225908_at,-2.589785232,,,,,,,,,,
226782_at,-2.589525188,,,,,,,,,,
201705_at,-2.589505336,,,,,,,,,,
217529_at,-2.586897427,,,,,,,,,,
209058_at,-2.586881442,,,,,,,,,,
223785_at,-2.586529571,,,,,,,,,,
211959_at,-2.586438972,,,,,,,,,,
218616_at,-2.586252805,,,,,,,,,,
207968_s_at,-2.585562512,,,,,,,,,,
207551_s_at,-2.584787693,,,,,,,,,,
1554517_x_at,-2.584663037,,,,,,,,,,
209489_at,-2.582748172,,,,,,,,,,
233873_x_at,-2.579188057,,,,,,,,,,
244114_x_at,-2.579015724,,,,,,,,,,
209204_at,-2.577586481,,,,,,,,,,
239335_at,-2.576487253,,,,,,,,,,
203069_at,-2.575606498,,,,,,,,,,
231166_at,-2.574284821,,,,,,,,,,
1568813_at,-2.573391453,,,,,,,,,,
202248_at,-2.573226417,,,,,,,,,,
213123_at,-2.573158117,,,,,,,,,,
1564204_at,-2.572550447,,,,,,,,,,
209124_at,-2.571762439,,,,,,,,,,
200593_s_at,-2.571038444,,,,,,,,,,
209608_s_at,-2.570867378,,,,,,,,,,
231032_at,-2.568126588,,,,,,,,,,
222234_s_at,-2.568082768,,,,,,,,,,
218860_at,-2.566721072,,,,,,,,,,
211384_s_at,-2.565844809,,,,,,,,,,
242946_at,-2.564596169,,,,,,,,,,
202499_s_at,-2.564065676,,,,,,,,,,
215085_x_at,-2.56327771,,,,,,,,,,
227710_s_at,-2.562208482,,,,,,,,,,
209680_s_at,-2.561873079,,,,,,,,,,
243305_at,-2.561516242,,,,,,,,,,
235747_at,-2.561357373,,,,,,,,,,
227152_at,-2.560850755,,,,,,,,,,
238443_at,-2.560169235,,,,,,,,,,
1560879_a_at,-2.559913746,,,,,,,,,,
1569665_at,-2.559752394,,,,,,,,,,
214985_at,-2.557253741,,,,,,,,,,
1563302_at,-2.556077267,,,,,,,,,,
222216_s_at,-2.554471625,,,,,,,,,,
200699_at,-2.553996273,,,,,,,,,,
234976_x_at,-2.553279526,,,,,,,,,,
228668_x_at,-2.552808534,,,,,,,,,,
209781_s_at,-2.552219724,,,,,,,,,,
223473_at,-2.551664246,,,,,,,,,,
1554834_a_at,-2.550515835,,,,,,,,,,
1565834_a_at,-2.549513936,,,,,,,,,,
222889_at,-2.549484809,,,,,,,,,,
222483_at,-2.548708267,,,,,,,,,,
226060_at,-2.54852575,,,,,,,,,,
233123_at,-2.547427656,,,,,,,,,,
207091_at,-2.547240251,,,,,,,,,,
31837_at,-2.547200664,,,,,,,,,,
235815_at,-2.547110641,,,,,,,,,,
227463_at,-2.546947018,,,,,,,,,,
233341_s_at,-2.546380609,,,,,,,,,,
204829_s_at,-2.545613534,,,,,,,,,,
203981_s_at,-2.544662959,,,,,,,,,,
216299_s_at,-2.544357858,,,,,,,,,,
219594_at,-2.544262025,,,,,,,,,,
232058_at,-2.544054855,,,,,,,,,,
233771_at,-2.543815923,,,,,,,,,,
220113_x_at,-2.54339933,,,,,,,,,,
212587_s_at,-2.543186188,,,,,,,,,,
216352_x_at,-2.542571189,,,,,,,,,,
206027_at,-2.542530795,,,,,,,,,,
236019_at,-2.542003134,,,,,,,,,,
219248_at,-2.541062899,,,,,,,,,,
207130_at,-2.541054531,,,,,,,,,,
222380_s_at,-2.53899363,,,,,,,,,,
227509_x_at,-2.538907256,,,,,,,,,,
226149_at,-2.537889835,,,,,,,,,,
223562_at,-2.536806837,,,,,,,,,,
204800_s_at,-2.536249214,,,,,,,,,,
222196_at,-2.536065648,,,,,,,,,,
212881_at,-2.53462129,,,,,,,,,,
215262_at,-2.533877358,,,,,,,,,,
229661_at,-2.533657954,,,,,,,,,,
209174_s_at,-2.53319051,,,,,,,,,,
205119_s_at,-2.531434766,,,,,,,,,,
203197_s_at,-2.531108628,,,,,,,,,,
218546_at,-2.5303745,,,,,,,,,,
203153_at,-2.530175089,,,,,,,,,,
221566_s_at,-2.528366199,,,,,,,,,,
223575_at,-2.527818113,,,,,,,,,,
1553407_at,-2.527246706,,,,,,,,,,
206117_at,-2.526330607,,,,,,,,,,
226693_at,-2.525892614,,,,,,,,,,
1569871_at,-2.525845343,,,,,,,,,,
1559739_at,-2.525276965,,,,,,,,,,
215450_at,-2.52490901,,,,,,,,,,
212826_s_at,-2.52450046,,,,,,,,,,
205660_at,-2.523921855,,,,,,,,,,
39318_at,-2.523116087,,,,,,,,,,
225005_at,-2.52267864,,,,,,,,,,
211280_s_at,-2.522084377,,,,,,,,,,
222617_s_at,-2.518976516,,,,,,,,,,
233664_at,-2.518237037,,,,,,,,,,
210152_at,-2.518199852,,,,,,,,,,
220500_s_at,-2.517636663,,,,,,,,,,
227985_at,-2.51712556,,,,,,,,,,
225433_at,-2.515559458,,,,,,,,,,
221881_s_at,-2.51549252,,,,,,,,,,
37966_at,-2.515205721,,,,,,,,,,
242635_s_at,-2.513482363,,,,,,,,,,
230717_at,-2.509303095,,,,,,,,,,
218564_at,-2.509271044,,,,,,,,,,
221652_s_at,-2.509230672,,,,,,,,,,
224280_s_at,-2.508256959,,,,,,,,,,
205269_at,-2.507704977,,,,,,,,,,
209073_s_at,-2.507391742,,,,,,,,,,
230832_at,-2.507311079,,,,,,,,,,
214978_s_at,-2.507035589,,,,,,,,,,
224767_at,-2.506639195,,,,,,,,,,
1569296_a_at,-2.506603129,,,,,,,,,,
219953_s_at,-2.506355095,,,,,,,,,,
229832_x_at,-2.505948586,,,,,,,,,,
203447_at,-2.505793265,,,,,,,,,,
208555_x_at,-2.504951119,,,,,,,,,,
213006_at,-2.504530275,,,,,,,,,,
207347_at,-2.502858074,,,,,,,,,,
1552411_at,-2.502538986,,,,,,,,,,
241216_at,-2.501965881,,,,,,,,,,
216323_x_at,-2.501348077,,,,,,,,,,
212217_at,-2.501311624,,,,,,,,,,
212431_at,-2.50121971,,,,,,,,,,
1553260_s_at,-2.500959232,,,,,,,,,,
202047_s_at,-2.499662514,,,,,,,,,,
221880_s_at,-2.499586454,,,,,,,,,,
204549_at,-2.498623325,,,,,,,,,,
1566268_at,-2.497633814,,,,,,,,,,
210706_s_at,-2.495880367,,,,,,,,,,
203605_at,-2.495192701,,,,,,,,,,
1557154_at,-2.494075336,,,,,,,,,,
1555436_a_at,-2.493677894,,,,,,,,,,
231321_s_at,-2.492732991,,,,,,,,,,
201833_at,-2.492633565,,,,,,,,,,
223159_s_at,-2.490946637,,,,,,,,,,
236470_at,-2.490914135,,,,,,,,,,
214255_at,-2.490496428,,,,,,,,,,
201487_at,-2.49012716,,,,,,,,,,
223950_s_at,-2.489884497,,,,,,,,,,
203545_at,-2.489529884,,,,,,,,,,
212377_s_at,-2.488660198,,,,,,,,,,
218246_at,-2.48741334,,,,,,,,,,
1565254_s_at,-2.486551785,,,,,,,,,,
214867_at,-2.485892473,,,,,,,,,,
238921_at,-2.48562601,,,,,,,,,,
242190_at,-2.484491928,,,,,,,,,,
214542_x_at,-2.483622946,,,,,,,,,,
227200_at,-2.482894111,,,,,,,,,,
214444_s_at,-2.48060041,,,,,,,,,,
226616_s_at,-2.480010982,,,,,,,,,,
223304_at,-2.479656683,,,,,,,,,,
212522_at,-2.479278258,,,,,,,,,,
225620_at,-2.478215358,,,,,,,,,,
201127_s_at,-2.478133087,,,,,,,,,,
214171_s_at,-2.477737219,,,,,,,,,,
236191_at,-2.476910047,,,,,,,,,,
212868_x_at,-2.476865632,,,,,,,,,,
215293_s_at,-2.476120128,,,,,,,,,,
209495_at,-2.473963892,,,,,,,,,,
202006_at,-2.47374948,,,,,,,,,,
214756_x_at,-2.472915925,,,,,,,,,,
240666_at,-2.472523059,,,,,,,,,,
236599_at,-2.472315097,,,,,,,,,,
211678_s_at,-2.470713032,,,,,,,,,,
204791_at,-2.470314803,,,,,,,,,,
227168_at,-2.469324667,,,,,,,,,,
206641_at,-2.468942227,,,,,,,,,,
1556420_s_at,-2.467440686,,,,,,,,,,
204335_at,-2.467376001,,,,,,,,,,
211874_s_at,-2.467355781,,,,,,,,,,
1561963_at,-2.466450495,,,,,,,,,,
233068_at,-2.464748696,,,,,,,,,,
1562220_at,-2.464465853,,,,,,,,,,
214737_x_at,-2.463988395,,,,,,,,,,
215371_at,-2.463776203,,,,,,,,,,
235990_at,-2.463644373,,,,,,,,,,
238205_at,-2.462198282,,,,,,,,,,
216554_s_at,-2.460774403,,,,,,,,,,
230462_at,-2.460004299,,,,,,,,,,
201261_x_at,-2.458600985,,,,,,,,,,
219265_at,-2.457349196,,,,,,,,,,
1566539_at,-2.457065895,,,,,,,,,,
201637_s_at,-2.453765789,,,,,,,,,,
237041_x_at,-2.452768465,,,,,,,,,,
210796_x_at,-2.451531985,,,,,,,,,,
209921_at,-2.450602721,,,,,,,,,,
