,x,,,,214290_s_at,ACAA1,2.340004946,,,,
1553130_at,-7.514310846,,,,200787_s_at,LAMC1,2.04467147,,,,
207545_s_at,-7.509221163,,,,222576_s_at,LANCL2,-8.927602231,,,,
239994_at,-7.506607241,,,,200634_at,LASP1,2.501592871,,,,
226998_at,-7.49660322,,,,1559876_at,LOC101928420,-8.790488876,,,,
226894_at,-7.460675608,,,,236785_at,LOC158402,-10.01894818,,,,
227022_at,-7.460070371,,,,242149_at,LOC645166 /// LOC654342,-7.400829376,,,,
243287_s_at,-7.418314512,,,,205622_at,LRP6,-7.230034354,,,,
242149_at,-7.400829376,,,,238856_s_at,LRRFIP1,-8.095463459,,,,
200088_x_at,-7.3648007,,,,208650_s_at,MACF1,2.109064611,,,,
1567080_s_at,-7.353351208,,,,200660_at,MARCKSL1,2.25364806,,,,
207323_s_at,-7.349423291,,,,205829_at,MAT1A,-8.418645634,,,,
225094_at,-7.305766013,,,,212037_at,MKI67,-7.761940202,,,,
219783_at,-7.295382077,,,,200964_at,MLF2,2.20323,,,,
201381_x_at,-7.292345452,,,,203892_at,MMP11,2.298810149,,,,
226363_at,-7.267191991,,,,209772_s_at,MYCN,2.248340788,,,,
219566_at,-7.232333227,,,,34031_i_at,MYO7A,2.126244476,,,,
205622_at,-7.230034354,,,,208651_x_at,NACA,2.235338063,,,,
243956_at,-7.227604548,,,,242065_x_at,NBAS,-7.889022685,,,,
AFFX-r2-P1-cre-5_at,-7.222201526,,,,201790_s_at,NCAPD2,-7.570168386,,,,
210301_at,-7.214296909,,,,218679_s_at,NCAPG,2.015925945,,,,
239856_at,-7.19991012,,,,217061_s_at,NCR2,-12.08564526,,,,
241813_at,-7.183965741,,,,204124_at,NFYA,2.13719454,,,,
1565674_at,-7.131879368,,,,223780_s_at,NIPSNAP3B,-8.381888261,,,,
232286_at,-7.127066704,,,,209771_x_at,NMNAT2,2.149209321,,,,
215165_x_at,-7.113263804,,,,218243_at,NUBP2,-7.919423618,,,,
221679_s_at,-7.108538193,,,,201381_x_at,OAZ2,-7.292345452,,,,
242457_at,-7.105710548,,,,211528_x_at,OGFR,2.087571841,,,,
224923_at,-7.099335592,,,,214481_at,ORM1 /// ORM2,-8.074903126,,,,
202494_at,-7.055007387,,,,208894_at,PAK2,2.274234128,,,,
224060_s_at,-7.041441276,,,,211934_x_at,PAPPA2,2.111649245,,,,
201500_s_at,-7.040256966,,,,227106_at,PHF21A,-8.970122131,,,,
217451_at,-6.99489006,,,,209035_at,PINK1,2.007194999,,,,
213428_s_at,-6.987211436,,,,1557658_at,POM121L8P,-7.668746886,,,,
207291_at,-6.964940603,,,,208579_x_at,POU3F3,2.097404825,,,,
212806_at,-6.953543638,,,,227022_at,PPP1R14A,-7.460070371,,,,
221281_at,-6.948545282,,,,220730_at,PRDM14,-8.011654962,,,,
242680_at,-6.947193452,,,,212085_at,PRRC2B,2.040293919,,,,
207160_at,-6.938221938,,,,204846_at,PSG5,2.147620918,,,,
1555715_a_at,-6.924282614,,,,208792_s_at,PSMD11,2.040750219,,,,
221211_s_at,-6.907909485,,,,208750_s_at,RAB2A,2.045377194,,,,
1561733_at,-6.899482795,,,,205312_at,RBL1,-8.350549867,,,,
212649_at,-6.898948588,,,,219566_at,ROBO3,-7.232333227,,,,
209304_x_at,-6.895664549,,,,241776_at,RORA,-9.35509449,,,,
222607_s_at,-6.874347503,,,,222067_x_at,RP11-219B4.3,2.197076898,,,,
204209_at,-6.87157779,,,,1555226_s_at,RP11-498C9.17,2.075513696,,,,
203508_at,-6.86485123,,,,217356_s_at,RP3-522P13.1,2.088962031,,,,
203935_at,-6.863035176,,,,217379_at,RPL22P22 /// RPL22P22,2.000891017,,,,
202317_s_at,-6.85008428,,,,200041_s_at,RPL27,1.997896416,,,,
208071_s_at,-6.842769419,,,,208920_at,RPS28,-8.891874443,,,,
242399_at,-6.835997049,,,,203859_s_at,RPS6KA3,-9.63542008,,,,
220458_at,-6.826511344,,,,218930_s_at,RRNAD1,-7.530948601,,,,
215850_s_at,-6.789460509,,,,203186_s_at,RRP8,2.011307919,,,,
214781_at,-6.775665458,,,,213453_x_at,RUFY3,2.220568244,,,,
1553832_at,-6.774605136,,,,201662_s_at,SCARB2,-7.754680235,,,,
1556042_s_at,-6.766569835,,,,201841_s_at,SCCPDH,2.012264405,,,,
217307_at,-6.754717607,,,,217871_s_at,SDF4,2.238311213,,,,
1562238_at,-6.751669751,,,,214273_x_at,SEC22B,-12.17493779,,,,
202946_s_at,-6.750880929,,,,211911_x_at,SEZ6L,2.018895241,,,,
226063_at,-6.740279352,,,,234989_at,SLC38A5,2.56363355,,,,
230593_at,-6.735051889,,,,224625_x_at,SLC44A2,2.121095022,,,,
206485_at,-6.731731676,,,,209695_at,SMAGP,-10.67450558,,,,
202879_s_at,-6.730259109,,,,238129_s_at,SMIM2-AS1,-9.147824113,,,,
209764_at,-6.722022626,,,,215952_s_at,SPATA31A1 /// SPATA31A3 /// SPATA31A5 /// SPATA31A6 /// SPATA31A7,2.569446501,,,,
239603_x_at,-6.714050699,,,,200934_at,SRPR,-11.99661722,,,,
222748_s_at,-6.703645069,,,,1555724_s_at,ST3GAL3,2.25214396,,,,
227561_at,-6.693478325,,,,202310_s_at,STAG1,2.037091936,,,,
218760_at,-6.672285517,,,,AFFX-r2-Bs-dap-3_at,STAT1,2.586313974,,,,
227614_at,-6.652529606,,,,AFFX-r2-Bs-dap-5_at,STAT1,2.06659553,,,,
229496_at,-6.634694427,,,,AFFX-r2-Bs-dap-M_at,STAT1,2.399303507,,,,
216412_x_at,-6.625955608,,,,209008_x_at,STAT3,2.366789433,,,,
78495_at,-6.614606194,,,,201348_at,STAT6,2.272320866,,,,
243203_at,-6.614459125,,,,236828_at,STMN4,-8.536850003,,,,
214493_s_at,-6.592545349,,,,231985_at,STOX2,-8.020065317,,,,
215636_at,-6.58626052,,,,1553678_a_at,SYT14,2.185803538,,,,
1556709_a_at,-6.570719163,,,,203953_s_at,TAF1C,2.340573523,,,,
223190_s_at,-6.557603381,,,,202839_s_at,TCEB1,2.025193715,,,,
220953_s_at,-6.552922845,,,,232274_at,TCTE3,-7.652738701,,,,
220207_at,-6.53485762,,,,202736_s_at,TES,2.054319132,,,,
229534_at,-6.534131436,,,,222851_at,THSD4,-8.285673397,,,,
202463_s_at,-6.517887528,,,,1555814_a_at,TMEM192 /// ZNF320,2.187719974,,,,
219082_at,-6.513600741,,,,215599_at,TMEM63A,2.213365057,,,,
228386_s_at,-6.510747059,,,,222281_s_at,TNS4,2.126653745,,,,
216902_s_at,-6.504273795,,,,202718_at,TRIM26,2.328510213,,,,
210013_at,-6.504145534,,,,221061_at,TRIM34 /// TRIM6-TRIM34,-8.517546966,,,,
207681_at,-6.497850301,,,,209875_s_at,TRIM9,2.046801033,,,,
236445_at,-6.473669535,,,,209026_x_at,TRIO,2.014480811,,,,
1557302_at,-6.437530905,,,,243956_at,TSHZ2,-7.227604548,,,,
209884_s_at,-6.400805793,,,,210543_s_at,TUBA3C /// TUBA3D,2.075634625,,,,
227341_at,-6.397203839,,,,230651_at,TUG1,-8.517324616,,,,
1556942_at,-6.393070944,,,,210338_s_at,UTY,1.99755476,,,,
218617_at,-6.392557965,,,,213496_at,VAMP4,-8.48778782,,,,
39891_at,-6.369710703,,,,221428_s_at,VN1R1,2.132728138,,,,
1552269_at,-6.362547926,,,,210301_at,WTAP,-7.214296909,,,,
222837_s_at,-6.357760876,,,,208791_at,XPO1,2.417739969,,,,
207366_at,-6.340625329,,,,213175_s_at,ZBTB20,2.383931769,,,,
241973_x_at,-6.337008402,,,,208153_s_at,ZNF205-AS1,-7.76626371,,,,
1558381_a_at,-6.335969643,,,,206191_at,ZNF222,-9.430544835,,,,
1556794_at,-6.330935236,,,,230935_at,ZNF233,-8.176544084,,,,
218972_at,-6.308645746,,,,212550_at,ZNF24,-8.272954578,,,,
226046_at,-6.302556696,,,,223318_s_at,ZNF655,2.14992016,,,,
217189_s_at,-6.297178726,,,,,,,,,,
210652_s_at,-6.289974847,,,,,,,,,,
201057_s_at,-6.267164586,,,,,,,,,,
218766_s_at,-6.256511227,,,,,,,,,,
212695_at,-6.252777687,,,,,,,,,,
244699_at,-6.245142016,,,,,,,,,,
202230_s_at,-6.242159109,,,,,,,,,,
1554790_at,-6.23814716,,,,,,,,,,
238460_at,-6.225597296,,,,,,,,,,
238826_x_at,-6.220243892,,,,,,,,,,
206698_at,-6.212707304,,,,,,,,,,
233186_s_at,-6.195683152,,,,,,,,,,
216017_s_at,-6.192434426,,,,,,,,,,
212994_at,-6.185024772,,,,,,,,,,
231826_at,-6.179097965,,,,,,,,,,
214176_s_at,-6.178981793,,,,,,,,,,
218225_at,-6.178596722,,,,,,,,,,
237494_at,-6.16751439,,,,,,,,,,
1554447_at,-6.166117153,,,,,,,,,,
220396_at,-6.160318715,,,,,,,,,,
208737_at,-6.157909765,,,,,,,,,,
205139_s_at,-6.15460237,,,,,,,,,,
211512_s_at,-6.151385857,,,,,,,,,,
232763_at,-6.148777393,,,,,,,,,,
1555808_a_at,-6.143200387,,,,,,,,,,
1562348_at,-6.130171681,,,,,,,,,,
