,Patient 1,Patient 2,Patient 3,Patient 4,Patient 5,Patient 6,Patient 7,Patient 8,Patient 9,Patient 10,Patient 11,Patient 12,Patient 13,Patient 14,Patient 15,Patient 16,Patient 17,Patient 18,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,Control 7,Control 8,Control 9,Control 10,Control 11,Control 12,Control 13,Control 14,Control 15,Control 16,Control 17,Control 18,Control 19
LETM2,6.742266277,6.697032673,6.640724241,7.133497269,6.64995168,6.754827976,6.354914479,6.856010566,6.920283281,6.599149506,6.73028105,6.769998327,7.131878969,6.605164349,6.730204422,6.514405324,6.307628851,6.827394951,2.051967447,2.072961363,1.955492674,2.224818917,2.95528675,4.711749719,3.317213396,2.526579827,3.084906485,3.199241783,3.239345707,3.395427862,2.7196111,2.196239752,2.422414372,2.478714985,4.054837635,2.266723737,4.535117144
MRPL30,7.052233259,5.928262777,7.103911911,4.713408841,7.70659012,7.313158608,7.037421973,6.889446205,6.222586502,6.871734674,6.416171521,7.506105586,6.848472986,4.147325007,6.664240384,7.33742411,7.259465102,7.040047654,6.548528734,6.18591276,6.423979256,6.498369974,6.52930697,6.387217779,6.391849893,6.694469193,6.950279637,7.109278278,6.993700611,7.04681267,6.981688563,6.679010347,6.655702592,6.157180761,6.886947508,6.192581638,6.603491793
Hsp40,6.159931046,5.998133355,5.48887261,5.946025764,6.443046765,5.986868578,5.749170878,5.954400377,6.146228217,5.810602316,6.081233652,5.828400624,6.296281168,5.660669973,5.773299535,5.547889583,5.380113744,6.217403391,1.407768846,2.270692286,2.113664117,1.649254276,1.396693149,1.464061529,2.129354318,1.65771297,2.558366093,2.41731517,1.780102718,1.631456574,1.615623098,3.115143463,1.267947233,1.528707758,2.252283685,1.894950351,1.313485881
JMY,8.426682795,8.258120746,9.249803871,8.888997387,8.499064384,8.700821231,7.882639603,7.982253626,7.486249112,8.964245125,9.196976697,8.333626457,5.815762794,8.868342505,8.749920666,8.694355553,8.662713306,8.91939818,5.45567137,5.192038083,5.675053154,5.363309158,5.901737432,5.609538101,5.418340232,5.745499369,6.480437783,6.308452045,6.208985126,6.208479587,6.113210126,5.544638534,5.80592004,5.200079657,6.163329855,5.285418311,5.772014436
APCDD1,5.298990133,4.842099392,5.448404149,4.900753449,5.406926549,5.697081821,5.278463525,5.207009861,5.760198658,5.37075842,5.42168854,5.038928923,5.220927222,5.518289494,5.39216794,5.033687208,5.186348387,5.621504617,3.510642928,5.704793098,4.23330238,4.418088727,4.551446739,4.025706698,4.633451137,4.589286849,3.482150406,4.264046675,4.038464349,4.86489635,4.100703495,4.012564471,4.122564888,5.208707648,3.812132791,4.389489156,2.953149163
NLGN3,7.900271402,7.886671014,7.714393175,7.800350498,7.500490521,8.486309607,7.713926091,8.694116641,8.573840255,7.300648468,7.302983553,7.717348547,7.388193262,7.889324527,7.77692362,7.962290142,7.799586909,7.302551725,5.105524167,5.812384965,5.756308567,5.105339125,5.319850809,5.086234448,5.465218551,5.560262319,5.437957402,5.457509576,5.143433834,5.386085167,5.314799458,5.301479608,5.433778703,5.803040475,5.322932559,5.394162493,5.023903727
PAQR9,4.93813592,4.972104499,4.541942803,4.934519832,5.457948509,4.732168455,4.596866481,4.716133448,5.27359101,4.716065163,4.828603126,5.219158086,5.523318107,4.183985244,4.979582595,4.616964444,4.464641284,4.689543465,4.088180728,3.716889992,3.973243357,3.776027718,4.603784851,4.451216724,4.319548466,4.163855578,4.644141444,4.955837885,4.342021547,4.759149203,5.063656547,4.009424482,4.360385917,4.29065897,4.185976713,3.802688323,4.497359835
CACNA1C,6.95814551,6.673093578,6.821023638,7.413671535,6.885505969,6.638396871,6.908698425,6.867091601,7.479138911,7.069299876,7.058294586,6.994044395,7.482397277,6.68412426,6.80591798,6.68024561,7.267209524,7.245741721,4.850912259,4.381839248,4.379777618,4.243004006,4.731639274,4.580414968,4.902871566,4.890335889,5.330423041,4.987885054,4.81546615,5.092200882,4.739992767,4.399528735,4.523989281,3.984666776,5.376777363,4.661108009,5.186419107
C3orf25,6.086394897,6.359406893,6.031440104,5.942087959,6.095011858,6.022975273,5.968098257,6.129318413,6.900163312,5.936199887,6.232381991,5.983250186,6.534970734,6.192427975,6.144457444,6.555632192,5.747478232,6.046677943,6.855627524,6.512906113,6.691553515,6.299243977,6.828194285,6.830470465,6.696357263,6.907800766,7.208640268,7.106030172,6.952407318,7.04760616,6.938731228,6.875338603,6.799751068,6.673400873,6.974962451,6.422745964,7.002093683
MGC72080,7.75131502,10.15641547,9.411614428,9.740502129,8.450880911,8.178240188,7.663283408,8.893265289,9.614565727,7.456345808,10.84078029,9.404345533,9.693382081,9.155897096,10.43994209,9.044461799,9.224141961,9.592371,4.546846651,3.748673989,3.660085744,4.848212455,4.847264952,4.22852035,4.131966266,5.302339842,3.363447626,4.563632896,4.657916782,4.249078821,3.345841446,4.164140546,4.580150152,4.137476596,3.610461124,3.706988576,3.333495939
BMS1P1,7.067475645,6.480042402,7.73927446,6.410360987,6.653688523,6.419685952,6.976320687,6.478611406,6.996263589,7.364453424,6.633529188,6.860714299,6.1306488,6.023534998,6.716103137,6.25674124,7.37490331,6.970603578,7.649160651,6.777006127,6.7568772,7.092727437,6.678929103,7.128526071,6.768530399,6.940814319,7.124168877,6.535440934,6.933597555,6.833492593,6.833486171,7.042511903,6.920393615,6.383377215,6.84967753,7.179212764,7.269886286
